Date,raw,rm,w7
2017-04-24,0.004718620673978854,0.00415531501204212,0.003535543730275365
2017-04-25,0.004812151800869018,0.00379988933533637,0.0052634212400952
2017-04-26,-0.002321749210171592,-0.002305773774300506,-0.002191379771002481
2017-04-27,0.0014527745903099095,0.0012419373481714082,0.0005745467116964672
2017-04-28,-0.0036187639360651643,-0.003906380103330326,-0.0034921475097897496
2017-05-01,0.005391023691270052,0.003919217455008153,0.0046358640478747085
2017-05-02,-0.007183142677263733,-0.005960767965648772,-0.007320983111411813
2017-05-03,-0.001081116756186798,-0.0014775123569647183,-0.001564854551349274
2017-05-04,-0.0037285757357589933,-0.003008456996199166,-0.003868059103322391
2017-05-05,0.0013688676726075373,0.000795032051302713,0.0011624146788306309
2017-05-08,0.0001786017219349237,0.0003334220718459614,0.0004556622645123868
2017-05-09,0.0023644846990824534,0.001346020085170579,0.002461023279470384
2017-05-10,0.005999286960303265,0.004609015134568367,0.006527725383278758
2017-05-11,0.0012146761200870885,0.0007603481267023822,0.0012184116180762902
2017-05-12,0.0008139516379732392,0.0008641284696256714,0.00021556766559178566
2017-05-15,0.0010629551595698408,0.0007671778315117611,0.00044628172829534035
2017-05-16,0.006497798073980393,0.005406402304687804,0.004941399332249953
2017-05-17,-0.013303966620119265,-0.010995746260908164,-0.011325629709364213
2017-05-18,0.0038604557567820737,0.0022447700144056413,0.003631104376237393
2017-05-19,0.0010411595740872671,0.0007004533285003855,0.0017568755112654538
2017-05-22,0.0005591175422869968,0.0011141371856577143,-0.00035791981044245165
2017-05-23,0.0003843991008527747,0.0009125573817009674,-0.0014311386032729947
2017-05-24,0.0028962989526417925,0.002827874755308238,0.0021321707509877183
2017-05-25,0.001077844313361754,0.0013820050165446471,0.0006691214461845131
2017-05-26,0.002684848378474128,0.0019152852031022833,0.0027713804702684222
2017-05-30,0.0008291737339671988,0.00036051789864676185,0.0006784734036494852
2017-05-31,-0.0023855066263828973,-0.0028241756792580387,-0.0023388732702407837
2017-06-01,-0.0037746829630664223,-0.0043360926674854425,-0.0032151949365390913
2017-06-02,0.002711762117021691,0.0027974879681289407,0.0020950486200077105
2017-06-05,0.002116439637685028,0.0010571591632241503,0.000964647753518899
2017-06-06,0.0027770563201420795,0.001316148342764091,0.002145301140413627
2017-06-07,0.0037908435081746056,0.0035117524114214047,0.004216399819722745
2017-06-08,0.007210735706778802,0.004981535763667565,0.006056160088964543
2017-06-09,-0.01224925074935707,-0.010516344940051067,-0.010424800603021651
2017-06-12,-0.004902284087707742,-0.005294048361629252,-0.004220399195270638
2017-06-13,0.003584667140414868,0.003487952366603461,0.002837668549368443
2017-06-14,-0.0023417676045239936,-0.0022144621044746186,-0.0011104529062112467
2017-06-15,-0.003433980768192277,-0.0028654131481575377,-0.002950586045451918
2017-06-16,0.0002984075289628993,0.0002812379301840026,-0.0004977548666938692
2017-06-19,0.006754254519287678,0.006260603612912597,0.00469131772458607
2017-06-20,0.00042953798105754663,-0.0007126138228706761,0.000582400953585725
2017-06-21,0.005355199718587466,0.003152172772892056,0.006543610488474374
2017-06-22,-0.001956983297262027,-0.0026340713091031905,-0.0012139604546923327
2017-06-23,0.00017139701079953358,0.001050156273629252,-0.00026468791873681806
2017-06-26,-0.003198912899020811,-0.0029392541909482603,-0.003536037221936931
2017-06-27,-0.0029306831332491356,-0.0009844145325801743,-0.004949114798597496
2017-06-28,0.004072376295171542,0.0038523881682111603,0.002271838892359458
2017-06-29,-0.003469705523919839,-0.0025330836370648117,-0.007124393141226252
2017-06-30,-0.0032996957959791724,-0.0030304397450094857,-0.0034384498924640984
2017-07-03,-0.004285436023830494,-0.003210018827051437,-0.008497555606654474
2017-07-05,0.007040229177768905,0.006269492223695068,0.006107724764458878
2017-07-06,0.003034448098242809,0.0037406421056921666,0.0021277310912208264
2017-07-07,0.004546392292410257,0.003909794657161078,0.005768344443081156
2017-07-10,0.005766047571381498,0.004487466612990761,0.0046488879143670786
2017-07-11,0.003461540244294349,0.0025668488370456286,0.004559902039962149
2017-07-12,0.0009010993409662294,0.00022710534925140104,0.0033102447466372047
2017-07-13,-0.0019351571060006742,-0.001139748758233218,-0.0030573831114879832
2017-07-14,0.001527555568747111,0.0014737020616598525,0.0038841055172934304
2017-07-17,-0.0003722129320777298,0.0004882850781039867,-0.0008710879102141725
2017-07-18,0.0034290431885825585,0.0025253387850425603,0.004105587096513091
2017-07-19,0.0024874496176256885,-0.000146907546775788,0.0052475738769467315
2017-07-20,0.0016070621977825868,0.0013021146701525934,0.0029081563566257496
2017-07-21,-0.00036467447098394065,-0.00031707582052760967,0.0006009536060701877
2017-07-24,0.0040372652104758875,0.002922546030100583,0.004748670343580667
2017-07-25,-0.0014392090248439811,-0.0007937493336376156,-0.006224316915643259
2017-07-26,0.003928072581229822,0.0024508808194079693,0.0026911836568715205
2017-07-27,-0.008090461844484333,-0.005904699400823373,-0.009439499663773705
2017-07-28,-0.0008983324360601249,-0.00039974814656744634,-0.0010423909382089988
2017-07-31,-0.006387785092822684,-0.0041187652979332735,-0.008634610024285616
2017-08-01,-0.00026054698492474344,0.00047772333477679016,-0.0012288798653055397
2017-08-02,-0.0005756330731478754,1.1869996502960469e-05,-0.00032428890914860703
2017-08-03,-0.0004426765555504222,0.0008887171156967004,0.0012656241845898106
2017-08-04,0.002882274921118069,0.0022760345390999393,0.0004720207626838893
2017-08-07,0.003983267203693921,0.0027464695007194877,0.004115381877586781
2017-08-08,-0.0003315340093969958,0.00047678763935457986,-0.0010350465465797996
2017-08-09,-0.002575092850680066,-0.002344644811155273,-0.0009228476036383088
2017-08-10,-0.00819609688550948,-0.005708255685445925,-0.00639531063963783
2017-08-11,0.002523124360569435,0.0009454727372247107,0.003972744525381957
2017-08-14,0.006119124595191197,0.004935867586311992,0.005463632396383344
2017-08-15,0.0012811521202867782,0.0016609795070626526,0.001209347029562212
2017-08-16,-0.0002716762626152389,0.0010335822203111447,0.0017318135757069782
2017-08-17,-0.0023403885930788084,-0.0010261928624509405,-0.0010726580707881197
